question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.24690693616867065,0.1277499496936798
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.08741872757673264,0.13715727627277374
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs animorphs,Animorphs,0.3950505256652832,0.8612200021743774
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.09453665465116501,0.16441108286380768
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?", greenwich village,"Greenwich Village, New York City",0.3758412301540375,0.9105002284049988
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.8180908560752869,0.5726665258407593
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,,Eenasul Fateh,0.97910076379776,0.19595569372177124
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.25706151127815247,0.42984649538993835
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.4746836721897125,0.12528038024902344
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.24296967685222626,0.2183379977941513
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.33255428075790405,0.8983345031738281
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.7450538277626038,0.14686572551727295
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,,1999,0.09341798722743988,0.17150560021400452
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"Are Random House Tower and 888 7th Avenue both used for real estate?888 7th avenue 888 7th avenue is a 628 ft ( 191m ) tall modern - style office skyscraper in midtown manhattan which was completed in 1969 and has 46 floors. emery roth & sons designed the building, which is tied with central park place for the 65th tallest building in new york city. it currently carries the vornado realty trust corporate headquarters. previously known as the arlen building, its namesake being the company responsible for its construction, arlen realty & development corporation. the red eye grill is located in the building at street level. random house tower the random house tower, also known as the park imperial apartments, is a 52 - story mixed - use tower in new york city, united states, that is used as the headquarters of book publisher random house and a luxury apartment complex",no,0.10188348591327667,0.011551479808986187
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,,from 1986 to 2013,0.14318397641181946,0.06071998178958893
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,,"9,984",0.39915311336517334,-0.015455694869160652
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?, north atlantic conference,the North Atlantic Conference,0.5112152099609375,0.9395880699157715
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,,yes,0.3835977613925934,0.2183379977941513
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?, nixon,1969 until 1974,0.27841615676879883,0.39479386806488037
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",,Robert Erskine Childers DSC,0.4901576340198517,0.10478255152702332
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?, sergio perez,Pedro Rodríguez,0.6326689720153809,0.7158358097076416
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,,Sonic,0.8252300024032593,0.18084384500980377
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?", isight imac g5,keyboard function keys,0.17077691853046417,0.18681825697422028
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ", wolf alice,Badly Drawn Boy,0.30976760387420654,0.20588743686676025
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,,World's Best Goalkeeper,0.6524994373321533,0.08067071437835693
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,,Barton Lee Hazlewood,0.9032342433929443,0.12308356165885925
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",,1838,0.8477119207382202,0.15480712056159973
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?"," the genus is considered close to the genera "" stapelia "" and "" hoodia "".",yes,0.09191948175430298,0.03471972048282623
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,henry j. kaiser henry john kaiser,Henry J. Kaiser,0.11288393288850784,0.9190414547920227
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",,Arena of Khazan,0.539498507976532,0.12189587950706482
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?", 2000,2000,0.6532077789306641,1.0
