question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,american,yes,0.3088611960411072,0.24816523492336273
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,lord high treasurer,Chief of Protocol,0.1319885402917862,0.2723655700683594
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs,Animorphs,0.48083049058914185,1.0
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,ortakoy,no,0.47395363450050354,0.2290678769350052
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",adriana trigiani,"Greenwich Village, New York City",0.43014195561408997,0.06928777694702148
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,yg entertainment,YG Entertainment,0.4259001910686493,1.0
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,eenasul fateh eenasul fateh,Eenasul Fateh,0.6447414755821228,0.9638388156890869
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"1, 400","3,677 seated",0.6383053064346313,0.08759595453739166
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","terry richardson terrence "" uncle terry "" richardson",Terry Richardson,0.30691996216773987,0.8060982823371887
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,for against,yes,0.02952696941792965,0.21149842441082
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.4233604073524475,0.9636563658714294
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",david weissman david weissman,David Weissman,0.4254916310310364,0.9728229641914368
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,0.45561277866363525,1.0
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"random house tower the random house tower, also known as the park imperial apartments, is a 52 - story mixed - use tower in new york city, united states, that is used as the headquarters of book publisher random house and a luxury apartment complex.",no,0.044695597141981125,0.021470695734024048
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,1945 to 1969,from 1986 to 2013,0.7752707600593567,0.4343184232711792
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,,"9,984",0.07026596367359161,0.020924119278788567
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,north atlantic conference,the North Atlantic Conference,0.6983228325843811,0.9840297102928162
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,ambroise thomas charles louis ambroise thomas,yes,0.18237970769405365,0.03588222712278366
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,nixon administration,1969 until 1974,0.5085018277168274,0.34111788868904114
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",erskine childers,Robert Erskine Childers DSC,0.941953718662262,0.8091965913772583
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,sergio perez,Pedro Rodríguez,0.4829229414463043,0.6391764879226685
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,sonic,Sonic,0.3049781024456024,1.0000001192092896
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",universal remote,keyboard function keys,0.05445145443081856,0.20696990191936493
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",,Badly Drawn Boy,0.04524978622794151,0.201609268784523
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,"goalkeeper peter schmeichel. peter schmeichel peter bolesław schmeichel mbe ( ] ; born 18 november 1963 ) is a danish former professional footballer who played as a goalkeeper, and was voted the iffhs world ' s best goalkeeper",World's Best Goalkeeper,0.12712442874908447,0.6797524094581604
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,lee hazlewood,Barton Lee Hazlewood,0.5570834279060364,0.8411762714385986
