question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.24690693616867065,0.23856155574321747
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.08741872757673264,0.2671944499015808
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?","What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?animorphs animorphs",Animorphs,0.2608937621116638,0.5146950483322144
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.15626563131809235,0.48858949542045593
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",,"Greenwich Village, New York City",0.5298526883125305,0.2043990194797516
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.7603057622909546,0.6161295771598816
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,,Eenasul Fateh,0.7701451778411865,0.20066799223423004
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.18650947511196136,0.1431862711906433
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.4777107536792755,0.2391316294670105
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.6744899749755859,0.5086907744407654
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.3069829046726227,0.9656195640563965
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.7787578701972961,0.21112538874149323
