question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.8909068703651428,0.1277499496936798
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.9951395392417908,0.13715727627277374
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs animorphs,Animorphs,0.9510250687599182,0.8612200021743774
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.9043240547180176,0.16441108286380768
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?", greenwich,"Greenwich Village, New York City",0.45786285400390625,0.594255805015564
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.7822665572166443,0.5726665258407593
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,,Eenasul Fateh,0.9804872274398804,0.19595569372177124
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.46583351492881775,0.42984649538993835
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.9969272613525391,0.12528038024902344
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.9665957093238831,0.2183379977941513
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.813545823097229,0.8983345031738281
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.9878049492835999,0.14686572551727295
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,,1999,0.9689598083496094,0.17150560021400452
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?, used as the headquarters of book publisher random house and a luxury apartment complex,no,0.15606795251369476,0.03969576954841614
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,,from 1986 to 2013,0.484839528799057,0.06071998178958893
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"Brown State Fishing Lake is in a country that has a population of how many inhabitants ?osage state fishing lake osage state fishing lake is located in northern osage county, kansas. it is a mile east of us 75. scranton, kansas, is to the lake ' s northwest and overbrook, kansas, is to the northeast. osage lake is a freshwater man - made lake, constructed in 1955. it has a surface area of 140 acres, the parkland in which the lake is contained has 366 acreas of land, mostly tall grass prairie with numerous wooded areas. the lake is owned by the state of kansas. brown state fishing lake brown state fishing lake ( sometimes also known as brown state fishing lake and wildlife area ) is a protected area in brown county, kansas in the united states","9,984",0.09451718628406525,0.05121448263525963
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?, north atlantic conference,the North Atlantic Conference,0.6568799018859863,0.9395880699157715
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,,yes,0.3639831244945526,0.2183379977941513
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,,1969 until 1974,0.8512639403343201,0.035470858216285706
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",,Robert Erskine Childers DSC,0.9962649345397949,0.10478255152702332
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?, sergio perez,Pedro Rodríguez,0.5535721778869629,0.7158358097076416
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,,Sonic,0.9926738739013672,0.18084384500980377
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?", front row media program on the isight imac g5,keyboard function keys,0.23810738325119019,0.19080781936645508
