question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,american,yes,0.3894820213317871,0.1277499496936798
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,united states ambassador to ghana and to czechoslovakia,Chief of Protocol,0.593075692653656,0.35270220041275024
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs animorphs,Animorphs,0.4765078127384186,0.8612200021743774
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,ortakoy,no,0.47395363450050354,0.18563485145568848
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",greenwich village,"Greenwich Village, New York City",0.9728602170944214,0.9105002284049988
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,winner,YG Entertainment,0.43008682131767273,0.2536274492740631
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,eenasul fateh eenasul fateh,Eenasul Fateh,0.6439018249511719,0.8841601610183716
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"1, 400","3,677 seated",0.6328814625740051,0.42984649538993835
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?","terry richardson terrence "" uncle terry "" richardson",Terry Richardson,0.2574308216571808,0.8070510625839233
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,for against,yes,0.04546204209327698,0.23358845710754395
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.35158205032348633,0.8983345031738281
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",david weissman david weissman,David Weissman,0.41982030868530273,0.9532686471939087
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1999,0.4545755088329315,1.0
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,real estate has been used as part of a long - term core strategy,no,0.05503521114587784,0.01881353184580803
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,1945 to 1969,from 1986 to 2013,0.7710489630699158,0.5603005290031433
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9, 984","9,984",0.7180370688438416,1.0
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,north atlantic conference,the North Atlantic Conference,0.7075208425521851,0.9395880699157715
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,"ambroise thomas ' "" mignon """,yes,0.095418781042099,0.10261868685483932
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,nixon administration,1969 until 1974,0.4414381682872772,0.5054535865783691
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",erskine childers,Robert Erskine Childers DSC,0.9419535994529724,0.7221677899360657
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,sergio perez,Pedro Rodríguez,0.4305303692817688,0.7158358097076416
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,sonic,Sonic,0.5177839398384094,1.0
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",vcr,keyboard function keys,0.27204322814941406,0.04229621961712837
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",wolf alice,Badly Drawn Boy,0.21842515468597412,0.20588743686676025
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,"goalkeeper peter schmeichel. peter schmeichel peter bolesław schmeichel mbe ( ] ; born 18 november 1963 ) is a danish former professional footballer who played as a goalkeeper, and was voted the iffhs world ' s best goalkeeper",World's Best Goalkeeper,0.12712498009204865,0.6585691571235657
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,lee hazlewood,Barton Lee Hazlewood,0.6556640267372131,0.8027863502502441
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",,1838,0.08674979209899902,0.15480712056159973
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?","the genus is considered close to the genera "" stapelia "" and "" hoodia """,yes,0.02106274664402008,0.01740260235965252
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,henry j. kaiser,Henry J. Kaiser,0.035362377762794495,1.0
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",arena of khazan arena of khazan,Arena of Khazan,0.23960526287555695,0.9693374037742615
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?",2000,2000,0.5810235738754272,1.0
5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","thornhill, ontario","Fujioka, Gunma",0.5131111145019531,0.23576787114143372
5ae0361155429925eb1afc2c,Which  French ace pilot and adventurer fly L'Oiseau Blanc,charles nungesser,Charles Eugène,0.25493454933166504,0.5910868644714355
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,,no,0.05200348421931267,0.16441108286380768
5a7cc50e554299452d57ba3e,"Which band, Letters to Cleo or Screaming Trees, had more members?",letters to cleo,Letters to Cleo,0.133340984582901,1.0
5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,1923,October 1922,0.9235788583755493,0.7564778327941895
5a8ef2a75542995a26add583,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2000,0.9879999160766602,1.0
5a80721b554299485f5985ef,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",world war ii casualties world war ii,World War II,0.14886601269245148,0.5652180314064026
5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,"gerald r. ford international airport gerald r. ford international airport ( iata : grr, icao : kgrr, faa lid : grr ) is a commercial airport in cascade township approximately 13 mi southeast of grand rapids, michigan",no,0.04535849019885063,0.013773476704955101
5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?,columbia,New York City,0.6277757287025452,0.4546217918395996
5a7a0e1e5542990783324e1a,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,scotch collie,Scotch Collie,0.34477266669273376,1.0000001192092896
5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,kochi,Mumbai,0.8659250140190125,0.6444810628890991
5a79311755429970f5fffe67,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1962,0.9198471903800964,1.0000001192092896
5ab2d3df554299194fa9352c,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty and freedom from colonization,sovereignty,0.4553271532058716,0.7126229405403137
5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,nelson rockefeller,Nelson Rockefeller,0.673553466796875,1.0
5a7d54165542995f4f402256,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",firth of forth,Yellowcraig,0.8336868286132812,0.16409827768802643
5ab859a955429934fafe6d7b,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,tom wolfe,Phil Spector,0.37135079503059387,0.24937793612480164
5add61d65542995b365fab21,What type of forum did a former Soviet statesman initiate?,,Organizations could come together to address global issues,0.04736466333270073,0.10238423943519592
