question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.8909068703651428,0.23856155574321747
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.9951395392417908,0.2671944499015808
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",animorphs animorphs,Animorphs,0.9767395853996277,0.9411783218383789
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.46109795570373535,0.48858949542045593
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",,"Greenwich Village, New York City",0.5057901740074158,0.2043990194797516
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.7103638052940369,0.6161295771598816
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,,Eenasul Fateh,0.9896919131278992,0.20066799223423004
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.1905691921710968,0.1431862711906433
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.9964271187782288,0.2391316294670105
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.9946126937866211,0.5086907744407654
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.7633994817733765,0.9656195640563965
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.9645282030105591,0.21112538874149323
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,,1999,0.9914827346801758,0.41569459438323975
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"Are Random House Tower and 888 7th Avenue both used for real estate?888 7th avenue 888 7th avenue is a 628 ft ( 191m ) tall modern - style office skyscraper in midtown manhattan which was completed in 1969 and has 46 floors. emery roth & sons designed the building, which is tied with central park place for the 65th tallest building in new york city. it currently carries the vornado realty trust corporate headquarters. previously known as the arlen building, its namesake being the company responsible for its construction, arlen realty & development corporation. the red eye grill is located in the building at street level. random house tower the random house tower, also known as the park imperial apartments, is a 52 - story mixed - use tower in new york city, united states, that is used as the headquarters of book publisher random house and a luxury apartment complex",no,0.09666767716407776,0.03006676398217678
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,,from 1986 to 2013,0.9369636178016663,0.19414734840393066
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,,"9,984",0.5953033566474915,-0.03786560520529747
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?, north atlantic conference,the North Atlantic Conference,0.6690568923950195,0.9770557880401611
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,,yes,0.5430516600608826,0.5086907744407654
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,,1969 until 1974,0.27059686183929443,0.20646356046199799
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",,Robert Erskine Childers DSC,0.9877154231071472,0.10848838090896606
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?, sergio perez,Pedro Rodríguez,0.3034476935863495,0.622414231300354
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,,Sonic,0.9961518049240112,0.3587264120578766
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?", the front row media program on the isight imac g5,keyboard function keys,0.286050409078598,0.1207181066274643
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ", two,Badly Drawn Boy,0.4571059048175812,0.18217574059963226
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,,World's Best Goalkeeper,0.9122126698493958,0.07815338671207428
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,,Barton Lee Hazlewood,0.5607115030288696,0.15361636877059937
5adf37a95542995ec70e8f97,"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",,1838,0.9909855127334595,0.3609471917152405
5abd259d55429924427fcf1a,"Are both Dictyosperma, and Huernia described as a genus?",,yes,0.534162700176239,0.5086907744407654
5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,henry j. kaiser henry john kaiser,Henry J. Kaiser,0.3454396724700928,0.9548664093017578
5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",,Arena of Khazan,0.9850468635559082,0.22216437757015228
5ac23ff0554299636651994d,"When was Poison's album ""Shut Up, Make Love"" released?", 2000,2000,0.7697523832321167,1.000000238418579
5ae4a3265542995ad6573de5,"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?",,"Fujioka, Gunma",0.9962276816368103,0.08964812755584717
5ae0361155429925eb1afc2c,Which  French ace pilot and adventurer fly L'Oiseau Blanc,,Charles Eugène,0.8026248812675476,0.26054084300994873
5abc0a5d5542993f40c73c64,Are Freakonomics and In the Realm of the Hackers both American documentaries?,,no,0.9940189719200134,0.48858949542045593
5a7cc50e554299452d57ba3e,"Which band, Letters to Cleo or Screaming Trees, had more members?",,Letters to Cleo,0.6429703235626221,0.2423478662967682
5abf63f15542997ec76fd3ea,Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?, russian civil war and subsequent persecution,October 1922,0.2279425710439682,0.10779468715190887
