question_id,question,model_answer,ground_truth,confidence,cosine_sim
5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?, american,yes,0.2625240087509155,0.24816516041755676
5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,,Chief of Protocol,0.3877488672733307,0.1642952263355255
5a85ea095542994775f606a8,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of enslaved worlds and alien species?",,Animorphs,0.8125563859939575,0.1915595829486847
5adbf0a255429947ff17385a,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,,no,0.09453665465116501,0.503203272819519
5a8e3ea95542995a26add48d,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?",,"Greenwich Village, New York City",0.36966150999069214,0.06450416147708893
5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?, loen entertainment,YG Entertainment,0.7603057622909546,0.6013779640197754
5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?, eenasul fateh eenasul fateh,Eenasul Fateh,0.38256964087486267,0.9638388752937317
5a87ab905542996e4f3088c1,The arena where the Lewiston Maineiacs played their home games can seat how many people?," 1, 400","3,677 seated",0.1668976992368698,0.08759597688913345
5a7bbb64554299042af8f7cc,"Who is older, Annie Morton or Terry Richardson?",,Terry Richardson,0.3731251358985901,0.20815923810005188
5a8db19d5542994ba4e3dd00,Are Local H and For Against both from the United States?,,yes,0.23959515988826752,0.4865747094154358
5a7166395542994082a3e814,"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",kansas song kansas song,Kansas Song,0.3069829046726227,0.9636563062667847
5a877e5d5542993e715abf7d,"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",,David Weissman,0.796879768371582,0.223412424325943
5ab3b0bf5542992ade7c6e39,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,,1999,0.17949829995632172,0.24651384353637695
5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,"Are Random House Tower and 888 7th Avenue both used for real estate?888 7th avenue 888 7th avenue is a 628 ft ( 191m ) tall modern - style office skyscraper in midtown manhattan which was completed in 1969 and has 46 floors. emery roth & sons designed the building, which is tied with central park place for the 65th tallest building in new york city. it currently carries the vornado realty trust corporate headquarters. previously known as the arlen building, its namesake being the company responsible for its construction, arlen realty & development corporation. the red eye grill is located in the building at street level. random house tower the random house tower, also known as the park imperial apartments, is a 52 - story mixed - use tower in new york city, united states, that is used as the headquarters of book publisher random house and a luxury apartment complex",no,0.07682948559522629,0.04514016583561897
5ab6d09255429954757d337d,The football manager who recruited David Beckham managed Manchester United during what timeframe?,,from 1986 to 2013,0.1665627658367157,0.2127711921930313
5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,,"9,984",0.9083757400512695,0.020924001932144165
5ab3e45655429976abd1bcd4,The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?, north atlantic conference,the North Atlantic Conference,0.5696479678153992,0.9840297102928162
5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,,yes,0.33199405670166016,0.4865747094154358
5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?, nixon,1969 until 1974,0.26043668389320374,0.34634527564048767
5a8133725542995ce29dcbdb,"Which writer was from England, Henry Roth or Robert Erskine Childers?",,Robert Erskine Childers DSC,0.4901576340198517,0.07091613113880157
5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?, sergio perez,Pedro Rodríguez,0.5388277173042297,0.6391764879226685
5ae6050f55429929b0807a5e,This singer of A Rather Blustery Day also voiced what hedgehog?,,Sonic,0.8596298098564148,0.2908846139907837
5adddccd5542997dc7907069,"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",,keyboard function keys,0.0987643450498581,0.08786104619503021
5ae2070a5542994d89d5b313,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",,Badly Drawn Boy,0.4700871706008911,0.2016093134880066
5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,,World's Best Goalkeeper,0.6524994373321533,0.10042905807495117
5a722b8655429971e9dc9329,Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,,Barton Lee Hazlewood,0.9092360734939575,0.11606600135564804
